witness	arm	maps	class	prop	missing_vs_intended	extra_vs_intended	hermit_unsat	matcher_own_view
w1	logmap_stock	4	3	1	-	-	2	logmap-hermit-unsat=2
w1	logmap_stock_lowconf	4	3	1	-	-	2	logmap-hermit-unsat=2
w1	logmap_v4_liberal	4	3	1	-	-	2	logmap-hermit-unsat=2
w1	logmap_v4_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	logmap_v4_liberal_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	logmap_v5_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	logmap_v5_liberal_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	logmap_v5_permissive_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	logmap_v5_off_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	logmap_v5_liberal_rr_lategate	4	3	1	-	-	0	logmap-hermit-unsat=0
w1	aml	3	3	0	writes	-	0	aml-says-coherent
w1	aml_props	4	3	1	-	-	2	aml-says-coherent
w1	aml_auto_props	4	3	1	-	-	2	aml-says-coherent
w2	logmap_stock	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_stock_lowconf	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v4_liberal	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
w2	aml	2	2	0	edits	-	0	aml-says-coherent
w2	aml_props	3	2	1	-	-	0	aml-says-coherent
w2	aml_auto_props	3	2	1	-	-	0	aml-says-coherent
w3	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
w3	logmap_stock_lowconf	3	2	1	-	-	2	logmap-hermit-unsat=2
w3	logmap_v4_liberal	3	2	1	-	-	2	logmap-hermit-unsat=2
w3	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	aml	2	2	0	hasReviewer	-	0	aml-says-coherent
w3	aml_props	3	2	1	-	-	2	aml-says-coherent
w3	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
w4	logmap_stock	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_stock_lowconf	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v4_liberal	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
w4	aml	2	2	0	hasReviewer	-	0	aml-says-coherent
w4	aml_props	3	2	1	-	-	0	aml-says-coherent
w4	aml_auto_props	3	2	1	-	-	0	aml-says-coherent
w5	logmap_stock	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_stock_lowconf	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v4_liberal	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v4_rr	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v4_liberal_rr	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v5_rr	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v5_liberal_rr	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v5_permissive_rr	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v5_off_rr	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	logmap_v5_liberal_rr_lategate	1	1	0	Course	-	0	logmap-hermit-unsat=0
w5	aml	1	1	0	Course	-	0	aml-conflict-sets=1
w5	aml_props	1	1	0	Course	-	0	aml-conflict-sets=1
w5	aml_auto_props	1	1	0	Course	-	0	aml-conflict-sets=1
w6	logmap_stock	4	3	1	-	-	2	logmap-hermit-unsat=2
w6	logmap_stock_lowconf	4	3	1	-	-	2	logmap-hermit-unsat=2
w6	logmap_v4_liberal	4	3	1	-	-	2	logmap-hermit-unsat=2
w6	logmap_v4_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	logmap_v4_liberal_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	logmap_v5_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	logmap_v5_liberal_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	logmap_v5_permissive_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	logmap_v5_off_rr	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	logmap_v5_liberal_rr_lategate	4	3	1	-	-	0	logmap-hermit-unsat=0
w6	aml	3	3	0	writes	-	0	aml-says-coherent
w6	aml_props	4	3	1	-	-	2	aml-says-coherent
w6	aml_auto_props	4	3	1	-	-	2	aml-says-coherent
d1_role	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_role	logmap_stock_lowconf	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_role	logmap_v4_liberal	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_role	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_role	aml	2	2	0	writes	-	0	aml-says-coherent
d1_role	aml_props	3	2	1	-	-	2	aml-says-coherent
d1_role	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
d1_filler	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_filler	logmap_stock_lowconf	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_filler	logmap_v4_liberal	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_filler	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_filler	aml	2	2	0	writes	-	0	aml-says-coherent
d1_filler	aml_props	3	2	1	-	-	2	aml-says-coherent
d1_filler	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
d1_subject	logmap_stock	3	2	1	-	-	1	logmap-hermit-unsat=1
d1_subject	logmap_stock_lowconf	3	2	1	-	-	1	logmap-hermit-unsat=1
d1_subject	logmap_v4_liberal	3	2	1	-	-	1	logmap-hermit-unsat=1
d1_subject	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
d1_subject	aml	2	2	0	writes	-	0	aml-says-coherent
d1_subject	aml_props	3	2	1	-	-	1	aml-says-coherent
d1_subject	aml_auto_props	3	2	1	-	-	1	aml-says-coherent
d2_base	logmap_stock	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_base	logmap_stock_lowconf	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_base	logmap_v4_liberal	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_base	logmap_v4_rr	1	0	1	Paper	-	0	logmap-hermit-unsat=0
d2_base	logmap_v4_liberal_rr	1	0	1	Paper	-	0	logmap-hermit-unsat=0
d2_base	logmap_v5_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_base	logmap_v5_liberal_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_base	logmap_v5_permissive_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_base	logmap_v5_off_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_base	logmap_v5_liberal_rr_lategate	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_base	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
d2_base	aml_props	2	1	1	-	-	2	aml-says-coherent
d2_base	aml_auto_props	2	1	1	-	-	2	aml-says-coherent
d2_role	logmap_stock	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_role	logmap_stock_lowconf	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_role	logmap_v4_liberal	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_role	logmap_v4_rr	1	0	1	Paper	-	0	logmap-hermit-unsat=0
d2_role	logmap_v4_liberal_rr	1	0	1	Paper	-	0	logmap-hermit-unsat=0
d2_role	logmap_v5_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_role	logmap_v5_liberal_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_role	logmap_v5_permissive_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_role	logmap_v5_off_rr	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_role	logmap_v5_liberal_rr_lategate	2	1	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=0 http://examp
d2_role	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
d2_role	aml_props	2	1	1	-	-	2	aml-says-coherent
d2_role	aml_auto_props	2	1	1	-	-	2	aml-says-coherent
d3_base	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
d3_base	logmap_stock_lowconf	3	2	1	-	-	2	logmap-hermit-unsat=2
d3_base	logmap_v4_liberal	3	2	1	-	-	2	logmap-hermit-unsat=2
d3_base	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_base	aml	2	2	0	hasCorrespondingAuthor	-	0	aml-says-coherent
d3_base	aml_props	3	2	1	-	-	2	aml-says-coherent
d3_base	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
d3_role	logmap_stock	3	2	1	-	-	1	logmap-hermit-unsat=1
d3_role	logmap_stock_lowconf	3	2	1	-	-	1	logmap-hermit-unsat=1
d3_role	logmap_v4_liberal	3	2	1	-	-	1	logmap-hermit-unsat=1
d3_role	logmap_v4_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	logmap_v4_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	logmap_v5_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	logmap_v5_liberal_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	logmap_v5_permissive_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	logmap_v5_off_rr	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	logmap_v5_liberal_rr_lategate	3	2	1	-	-	0	logmap-hermit-unsat=0
d3_role	aml	2	2	0	hasSubmitter	-	0	aml-says-coherent
d3_role	aml_props	3	2	1	-	-	1	aml-says-coherent
d3_role	aml_auto_props	3	2	1	-	-	1	aml-says-coherent
d4_base	logmap_stock	1	0	1	-	-	1	logmap-hermit-unsat=1
d4_base	logmap_stock_lowconf	1	0	1	-	-	1	logmap-hermit-unsat=1
d4_base	logmap_v4_liberal	1	0	1	-	-	1	logmap-hermit-unsat=1
d4_base	logmap_v4_rr	0	0	0	hasReviewer	-	0	logmap-hermit-unsat=0 | restriction-repair]   resolved by property-anchor deletion: id=1
d4_base	logmap_v4_liberal_rr	0	0	0	hasReviewer	-	0	logmap-hermit-unsat=0 | restriction-repair]   resolved by property-anchor deletion: id=1
d4_base	logmap_v5_rr	1	0	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=1 http://examp
d4_base	logmap_v5_liberal_rr	1	0	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=1 http://examp
d4_base	logmap_v5_permissive_rr	1	0	1	-	-	0	logmap-hermit-unsat=0 | restriction-repair] Plan with property-anchor direction(s) for id=1 http://examp
